Topic Volume,Volume1,Volume2,Problem,Problem link
Introduction,Getting Started: The Easy Problems,Easy,621 - Secret Research,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=608&page=show_problem&problem=562
Introduction,Getting Started: The Easy Problems,Easy,11799 - Horror Dash,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=608&page=show_problem&problem=2899
Introduction,Getting Started: The Easy Problems,Easy,10300 - Ecological Premium,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=608&page=show_problem&problem=1241
Introduction,Getting Started: The Easy Problems,Easy,11942 - Lumberjack Sequencing,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=608&page=show_problem&problem=3093
Introduction,Getting Started: The Easy Problems,Easy,"12554 - A Special ""Happy Birthday"" Song!!!",https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=608&page=show_problem&problem=3999
Introduction,Getting Started: The Easy Problems,Medium,10141 - Request for Proposal,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=1082
Introduction,Getting Started: The Easy Problems,Medium,10919 - Prerequisites?,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=1860
Introduction,Getting Started: The Easy Problems,Medium,11956 - Brainfuck,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=3107
Introduction,Getting Started: The Easy Problems,Medium,11507 - Bender B. Rodríguez Problem,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=2502
Introduction,Getting Started: The Easy Problems,Medium,10424 - Love Calculator,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=1365
Introduction,Getting Started: The Easy Problems,Medium,573 - The Snail,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=514
Introduction,Getting Started: The Easy Problems,Medium,11586 - Train Tracks,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=2633
Introduction,Getting Started: The Easy Problems,Medium,11687 - Digits,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=2734
Introduction,Getting Started: The Easy Problems,Medium,11683 - Laser Sculpture,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=2730
Introduction,Getting Started: The Easy Problems,Medium,10324 - Zeros and Ones,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=1265
Introduction,Getting Started: The Easy Problems,Medium,119 - Greedy Gift Givers,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=55
Introduction,Getting Started: The Easy Problems,Medium,11661 - Burger Time?,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=2708
Introduction,Getting Started: The Easy Problems,Medium,12478 - Hardest Problem Ever (Easy),https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=3922
Introduction,Getting Started: The Easy Problems,Medium,661 - Blowing Fuses,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=609&page=show_problem&problem=602
Introduction,Ad Hoc Problems,Anagram,642 - Word Amalgamation,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=616&page=show_problem&problem=583
Introduction,Ad Hoc Problems,Anagram,148 - Anagram checker,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=616&page=show_problem&problem=84
Introduction,Ad Hoc Problems,Anagram,10098 - Generating Fast,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=616&page=show_problem&problem=1039
Introduction,Ad Hoc Problems,Anagram,454 - Anagrams,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=616&page=show_problem&problem=395
Introduction,Ad Hoc Problems,Anagram,630 - Anagrams (II),https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=616&page=show_problem&problem=571
Introduction,Ad Hoc Problems,Anagram,156 - Ananagrams,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=616&page=show_problem&problem=92
Introduction,Ad Hoc Problems,Anagram,195 - Anagram,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=616&page=show_problem&problem=131
Introduction,Ad Hoc Problems,Game (Card),10205 - Stack 'em Up,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=611&page=show_problem&problem=1146
Introduction,Ad Hoc Problems,Game (Card),11225 - Tarot scores.,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=611&page=show_problem&problem=2166
Introduction,Ad Hoc Problems,Game (Card),10315 - Poker Hands,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=611&page=show_problem&problem=1256
Introduction,Ad Hoc Problems,Game (Card),12247 - Jollo,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=611&page=show_problem&problem=3399
Introduction,Ad Hoc Problems,Game (Card),555 - Bridge Hands,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=611&page=show_problem&problem=496
Introduction,Ad Hoc Problems,Game (Card),462 - Bridge Hand Evaluator,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=611&page=show_problem&problem=403
Introduction,Ad Hoc Problems,Game (Card),10646 - What is the Card?,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=611&page=show_problem&problem=1587
Introduction,Ad Hoc Problems,Game (Card),162 - Beggar My Neighbour,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=611&page=show_problem&problem=98
Introduction,Ad Hoc Problems,Game (Card),11678 - Cards' Exchange,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=611&page=show_problem&problem=2725
Introduction,Ad Hoc Problems,Game (Chess),278 - Chess,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=612&page=show_problem&problem=214
Introduction,Ad Hoc Problems,Game (Chess),696 - How Many Knights,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=612&page=show_problem&problem=637
Introduction,Ad Hoc Problems,Game (Chess),11494 - Queen,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=612&page=show_problem&problem=2489
Introduction,Ad Hoc Problems,Game (Chess),10284 - Chessboard in FEN,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=612&page=show_problem&problem=1225
Introduction,Ad Hoc Problems,Game (Chess),10196 - Check The Check,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=612&page=show_problem&problem=1137
Introduction,Ad Hoc Problems,Game (Chess),255 - Correct Move,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=612&page=show_problem&problem=191
Introduction,Ad Hoc Problems,Game (Chess),10849 - Move the bishop,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=612&page=show_problem&problem=1790
Introduction,Ad Hoc Problems,"Game (Others), Easier",947 - Master Mind Helper,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=613&page=show_problem&problem=888
Introduction,Ad Hoc Problems,"Game (Others), Easier",11459 - Snakes and Ladders,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=613&page=show_problem&problem=2454
Introduction,Ad Hoc Problems,"Game (Others), Easier",10189 - Minesweeper,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=613&page=show_problem&problem=1130
Introduction,Ad Hoc Problems,"Game (Others), Easier",10530 - Guessing Game,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=613&page=show_problem&problem=1471
Introduction,Ad Hoc Problems,"Game (Others), Easier",12239 - Bingo!,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=613&page=show_problem&problem=3391
Introduction,Ad Hoc Problems,"Game (Others), Easier",10279 - Mine Sweeper,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=613&page=show_problem&problem=1220
Introduction,Ad Hoc Problems,"Game (Others), Easier",10409 - Die Game,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=613&page=show_problem&problem=1350
Introduction,Ad Hoc Problems,"Game (Others), Easier",489 - Hangman Judge,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=613&page=show_problem&problem=430
Introduction,Ad Hoc Problems,"Game (Others), Easier",340 - Master-Mind Hints,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=613&page=show_problem&problem=276
Introduction,Ad Hoc Problems,"Game (Others), Harder",227 - Puzzle,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=163
Introduction,Ad Hoc Problems,"Game (Others), Harder",379 - Hi-Q,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=315
Introduction,Ad Hoc Problems,"Game (Others), Harder",10903 - Rock-Paper-Scissors Tournament,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=1844
Introduction,Ad Hoc Problems,"Game (Others), Harder",141 - The Spot Game,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=77
Introduction,Ad Hoc Problems,"Game (Others), Harder",232 - Crossword Answers,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=168
Introduction,Ad Hoc Problems,"Game (Others), Harder",584 - Bowling,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=525
Introduction,Ad Hoc Problems,"Game (Others), Harder",10813 - Traditional BINGO,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=1754
Introduction,Ad Hoc Problems,"Game (Others), Harder",10363 - Tic Tac Toe,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=1304
Introduction,Ad Hoc Problems,"Game (Others), Harder","10443 - Rock, Scissors, Paper",https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=1384
Introduction,Ad Hoc Problems,"Game (Others), Harder",220 - Othello,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=156
Introduction,Ad Hoc Problems,"Game (Others), Harder",647 - Chutes and Ladders,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=588
Introduction,Ad Hoc Problems,"Game (Others), Harder",114 - Simulation Wizardry,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=50
Introduction,Ad Hoc Problems,"Game (Others), Harder",339 - SameGame Simulation,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=614&page=show_problem&problem=275
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",637 - Booklet Printing,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=578
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",10528 - Major Scales,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=1469
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",11984 - A Change in Thermal Unit,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=3135
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",187 - Transaction Processing,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=123
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",10191 - Longest Nap,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=1132
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",857 - Quantiser,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=798
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",10082 - WERTYU,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=1023
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",10554 - Calories from Fat,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=1495
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",10812 - Beat the Spread!,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=1753
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",12195 - Jingle Composing,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=3347
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier","362 - 18,000 Seconds Remaining",https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=298
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",12555 - Baby Me,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=4000
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",11945 - Financial Management,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=3096
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",161 - Traffic Lights,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=97
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Easier",11530 - SMS Typing,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=617&page=show_problem&problem=2525
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",346 - Getting Chorded,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=282
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",608 - Counterfeit Dollar,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=549
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",139 - Telephone Tangles,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=75
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",449 - Majoring in Scales,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=390
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",333 - Recognizing Good ISBNs,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=269
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",12342 - Tax Calculator,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=3764
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",447 - Population Explosion,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=388
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",448 - OOPS!,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=389
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",538 - Balancing Bank Accounts,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=479
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",11223 - O: dah dah dah!,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=2164
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",145 - Gondwanaland Telecom,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=81
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",11743 - Credit Check,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=2843
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",10415 - Eb Alto Saxophone Player,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=1356
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",403 - Postscript,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=344
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",706 - LC-Display,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=647
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",1061 - Consanguine Calculations,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=3502
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",457 - Linear Cellular Automata,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=398
Introduction,Ad Hoc Problems,"Interesting Real Life Problems, Harder",10659 - Fitting Text into Slides,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=618&page=show_problem&problem=1600
Introduction,Ad Hoc Problems,Palindrome,11309 - Counting Chaos,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=615&page=show_problem&problem=2284
Introduction,Ad Hoc Problems,Palindrome,10945 - Mother bear,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=615&page=show_problem&problem=1886
Introduction,Ad Hoc Problems,Palindrome,10018 - Reverse and Add,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=615&page=show_problem&problem=959
Introduction,Ad Hoc Problems,Palindrome,11221 - Magic square palindromes.,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=615&page=show_problem&problem=2162
Introduction,Ad Hoc Problems,Palindrome,353 - Pesky Palindromes,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=615&page=show_problem&problem=289
Introduction,Ad Hoc Problems,Palindrome,401 - Palindromes,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=615&page=show_problem&problem=342
Introduction,Ad Hoc Problems,Time,12019 - Doom's Day Algorithm,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=3170
Introduction,Ad Hoc Problems,Time,12439 - February 29,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=3870
Introduction,Ad Hoc Problems,Time,11947 - Cancer or Scorpio,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=3098
Introduction,Ad Hoc Problems,Time,300 - Maya Calendar,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=236
Introduction,Ad Hoc Problems,Time,11958 - Coming Home,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=3109
Introduction,Ad Hoc Problems,Time,12136 - Schedule of a Married Man,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=3288
Introduction,Ad Hoc Problems,Time,10371 - Time Zones,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=1312
Introduction,Ad Hoc Problems,Time,11677 - Alarm Clock,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=2724
Introduction,Ad Hoc Problems,Time,11356 - Dates,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=2341
Introduction,Ad Hoc Problems,Time,10070 - Leap Year or Not Leap Year and ...,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=1011
Introduction,Ad Hoc Problems,Time,579 - Clock Hands,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=520
Introduction,Ad Hoc Problems,Time,11219 - How old are you?,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=2160
Introduction,Ad Hoc Problems,Time,893 - Y3K Problem,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=834
Introduction,Ad Hoc Problems,Time,10683 - The decadary watch,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=1624
Introduction,Ad Hoc Problems,Time,170 - Clock Patience,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=106
Introduction,Ad Hoc Problems,Time,12148 - Electricity,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=3300
Introduction,Ad Hoc Problems,Time,10339 - Watching Watches,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=1280
Introduction,Ad Hoc Problems,Time,11650 - Mirror Clock,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=2697
Introduction,Ad Hoc Problems,Time,12531 - Hours and Minutes,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=619&page=show_problem&problem=3976
Introduction,Ad Hoc Problems,Time Waster' Problems,12060 - All Integer Average,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=3212
Introduction,Ad Hoc Problems,Time Waster' Problems,337 - Interpreting Control Sequences,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=273
Introduction,Ad Hoc Problems,Time Waster' Problems,214 - Code Generation,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=150
Introduction,Ad Hoc Problems,Time Waster' Problems,945 - Loading a Cargo Ship,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=886
Introduction,Ad Hoc Problems,Time Waster' Problems,349 - Transferable Voting (II),https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=285
Introduction,Ad Hoc Problems,Time Waster' Problems,10134 - AutoFish,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=1075
Introduction,Ad Hoc Problems,Time Waster' Problems,830 - Shark,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=771
Introduction,Ad Hoc Problems,Time Waster' Problems,10961 - Chasing After Don Giovanni,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=1902
Introduction,Ad Hoc Problems,Time Waster' Problems,10142 - Australian Voting,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=1083
Introduction,Ad Hoc Problems,Time Waster' Problems,12608 - Garbage Collection,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=4286
Introduction,Ad Hoc Problems,Time Waster' Problems,10267 - Graphical Editor,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=1208
Introduction,Ad Hoc Problems,Time Waster' Problems,603 - Parking Lot,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=544
Introduction,Ad Hoc Problems,Time Waster' Problems,11140 - Little Ali's Little Brother!,https://onlinejudge.org/index.php?option=com_onlinejudge&Itemid=8&category=620&page=show_problem&problem=2081
